911  1610  1610  1180   636   420   377   323   316   308   314   426
364   944   728   491   342   326   268   198   145   241   312   716
1200   990   716   658   427   330   243   213   193   237   278   557
676   531   529   414   290   162   132   105   126   172   151   237
944  1150   672  1010   618   384   274   241   133   221   247   416
431   284   843   581   360   233   203   154   134   138   205   322
700   290   382   445   314   262   185   136   120   140   336   666
766   527   529   427   253   211   197   123    95    87   184   561
831   863   380   320   272   227   164   144   106   117   229   324
581  1040   905   451   348   260   195   110   112   134   418   364
720   473   404   487   245   193   161   122   121   154   237   449
511   620  1030   614   360   537   332   177   161   155   338   519
1360  1250  1100   614   388   348   278   192   174   280   483   473
449   720   682   479   366   243   203   156   125   134   356   386
559  1150  1280  1310   656   418   346   255   148   256   447  1060
1340   927  1190   748   497   370   336   255   221   207   288   491
666   825  1460  1020   525   372   304   253   213   213   203   571
869   819   954   668   336   354   235   198   168   168   163   644
781  1450  1010   587   416   354   295   234   181   246   321   546
586   829   755   561   323   241   191   144   112   198   573   685
1090  1000   950   694   400   316   244   199   150   161   188   293
612  1050  2000   731   471   356   280   216   189   181   337   674
372   343   845   756   388   281   216   164   162   387   384   849
465   846   412   452   381   261   171   119    99    80   379   528
674   630   478   667   275   214   157   119    88   206   309  1130
772   470   859   423   476   397   274   228   173   166   537  1340
1450  1540  1400  1250   746   517   405   322   268   249   361   773
816   935   707   575   407   326   290   212   221   241   186   266
951   575  1040   500   317   254   200   160   123   161   377   416
696   824   879   550   393   289   230   173   136   147   361   826
1350  1450  1220   652   555   380   298   224   172   161   255   405
984  1060  1000   535   406   303   235   197   170   236   305  1120
987   979   543   373   293   242   203   163   126   125   171   146
789   966   457   391   278   192   156   122    94   263   417   621
970  1200  1500   765   496   358   296   237   169   265   462   859
1390  1600   932   703   522   387   306   237   190   311   450   870
1040  1190   987   706   486   368   287   220   183   156   368   854
890   920   918   533   371   290   234   196   169   219   236   601
436   551   461   296   225   165   130   103    84   164   657   700
1350  1120   793   504   334   254   207   163   172   242   295   266
193   200   300   213   134   119    88    77    86   200   386  1060
559   626   602   504   307   228   203   149   122   369   883   745
814   819   805   851   451   330   267   200   165   279   582   599
661   422  1100   951   542   383   300   245   178   267   216   405
740   662   398   406   282   200   177   129    97   157   374   415
401   404   463   320   223   165   142   103   158   174   482  1210
1070   777   401   483   309   247   185   140   131   195   289   701
1300   679   946   629   416   354   269   206   177   212   415  1030
1430  1900  1020   760   502   417   324   267   275   219   398   502
1470  1670   788   793   527   407   347   259   215   205   417   890
1540   870   637   664   446   362   279   217   166   268  1040  1110
1580  1160  1690  1070   660   501   380   296   236   265   258   390
1510  2350  1340  1060   686   521   410   317   282   431   671  1290
886   571   511   680   373   273   220   187   222   168   205   566
1280  1010   926   639   429   318   256   204   183   176   259   567
1200  1010   695   417   327   244   201   197   151   139   156   420
662   504   481   560   344   247   187   147   135   175   285   982
797   930   886   624   405   324   248   196   149   212   347   631
664   728   659   396   285   232   190   166   158   178   420  1600
1070   586   548   404   355   261   238   182   182   199   201   236
